Wk,Max_P_day,Max_P_intra,Min_P_day,Min_P_intra,Avg_P_day,Avg_P_intra,Std_P_day,Std_P_intra
34,3.37881023242715,3.9897478607793886,-3.3600631234722096,0.23493119444200244,0.062388965843582306,1.1544467083507883,0.9868242739372274,0.7715783804286229
35,3.6182090383460155,5.256533930461225,-3.6607924373617458,0.2639523373884449,0.021444846012163576,1.1914975170912088,1.001245329437178,0.8594583994280545
36,2.8108264543026054,4.394251590234598,-4.153611349432813,0.31349944638028804,-0.1502105087323971,1.3387457890312333,1.1440738831309647,0.9057075066857608
37,2.184921096077751,3.605525807217611,-3.428285254713163,0.24999497933199155,0.12122002720754434,1.1785286402445319,0.8734038098497758,0.7190361925447258
38,4.271965256357899,6.849582236297971,-4.921560547784558,0.1857688227111773,-0.16439859151670588,1.4341502916947402,1.3204139057893085,1.2525941111420424
39,3.898325211216844,4.414994324640427,-3.8458804563325657,0.3148360988259756,-0.1277585428505286,1.398065943145536,1.1324627864110164,0.8660886152405994
40,4.72085642331736,9.277661129286601,-8.489988743728862,0.22092519274688935,0.005197589138402499,1.5920583541784759,1.4606481322065388,1.2628830746161244
41,4.247842980821164,11.49797558491965,-7.941968126633409,0.21785337749265524,-0.07577101598642531,1.7173238712586063,1.5657601542692765,1.8696275296164084
42,9.926044983394961,10.318268164971926,-8.72309982506855,0.17346711421379252,0.1322296862366173,1.650495984016221,1.656783191612481,1.7810288960239662
43,4.439806066163865,8.661694381547328,-5.767750858909166,0.2572460540950397,0.07248064246706061,1.4925998687080484,1.1984176745343889,1.2425555360378306
44,10.789005877973542,11.267404265348363,-2.9006777619196153,0.23871613054725505,0.08409605970750564,1.5135663865562077,1.4768812304592263,1.3803031150244065
45,3.545727165165792,5.853983427102424,-4.989502132833875,0.2985686813246475,0.09446812403302751,1.365337027217928,1.2040025223798527,0.9374955457474257
46,6.8172462358207895,11.520845135881483,-4.599338047407917,0.24595725753869224,-0.02062690520753612,1.3532406380904636,1.1905648407745626,1.3439149505787436
47,5.846475559815283,9.727458261057224,-6.630100760608613,0.14574719377504383,-0.0701269217218228,1.3056480266161805,1.3845815788135947,1.4424632169972678
48,6.316772913189224,8.037938392125886,-2.326583544460168,0.24695789231387452,0.30432983225836385,1.3329706629606757,1.2400025596855582,1.1581588911993868
